X1,Y1
0.0,-100.0
0.0,-100.0
-0.02015263722145623,-100.01630915409285
-0.06045791166436869,-100.04892746227856
-0.12091582332873738,-100.09785492455713
-0.2015263722145623,-100.16309154092855
-0.30228955832184345,-100.24463731139282
-0.4232053816505808,-100.34249223594995
-0.5642738422007744,-100.45665631459994
-0.7254949399724242,-100.58712954734278
-0.9068686749655301,-100.73391193417848
-1.1083950471800923,-100.89700347510703
-1.3300740566161107,-101.07640417012844
-1.5719057032735853,-101.27211401924271
-1.833889987152516,-101.48413302244983
-2.1160269082529033,-101.7124611797498
-2.4183164665747467,-101.95709849114263
-2.740758662118046,-102.21804495662832
-3.083353494882802,-102.49530057620686
-3.446100964869014,-102.78886534987825
-3.8290010720766823,-103.09873927764251
-4.232053816505807,-103.42492235949962
-4.655259198156387,-103.76741459544958
-5.0986172170284245,-104.1262159854924
-5.562127873121918,-104.50132652962806
-6.045791166436867,-104.89274622785659
-6.549607096973273,-105.30047508017797
-7.073575664731135,-105.72451308659221
-7.6176968697104535,-106.1648602470993
-8.181970711911228,-106.62151656169925
-8.766397191333459,-107.09448203039206
-9.370976307977147,-107.58375665317772
-9.99570806184229,-108.08934043005623
-10.640592452928889,-108.6112333610276
-11.305629481236945,-109.14943544609183
-11.990819146766457,-109.70394668524891
-12.696161449517426,-110.27476707849884
-13.42165638948985,-110.86189662584164
-14.16730396668373,-111.46533532727729
-14.933104181099068,-112.08508318280579
-15.719057032735861,-112.72114019242714
-16.525162521594112,-113.37350635614136
-17.351420647673816,-114.04218167394843
-18.197831410974977,-114.72716614584836
-19.064394811497596,-115.42845977184113
-19.951110849241672,-116.14606255192676
-20.857979524207202,-116.87997448610525
-21.78500083639419,-117.6301955743766
-22.732174785802634,-118.3967258167408
-23.699501372432533,-119.17956521319785
-24.686980596283888,-119.97871376374776
-25.6946124573567,-120.79417146839053
-26.722396955650968,-121.62593832712615
-27.750181453945235,-122.45770518586177
-28.7779659522395,-123.28947204459739
-29.80575045053377,-124.12123890333301
-30.833534948828035,-124.95300576206863
-31.861319447122302,-125.78477262080425
-32.88910394541657,-126.61653947953987
-33.91688844371084,-127.44830633827549
-34.944672942005106,-128.28007319701112
-35.97245744029937,-129.11184005574674
-37.00024193859364,-129.94360691448236
-38.028026436887906,-130.77537377321798
-39.05581093518217,-131.6071406319536
-40.08359543347644,-132.43890749068922
-41.111379931770706,-133.27067434942484
-42.13916443006497,-134.10244120816046
-43.16694892835924,-134.93420806689608
-44.19473342665351,-135.7659749256317
-45.22251792494777,-136.59774178436732
-46.25030242324204,-137.42950864310293
-47.27808692153631,-138.26127550183855
-48.305871419830574,-139.09304236057417
-49.33365591812484,-139.9248092193098
-50.36144041641911,-140.7565760780454
-51.389224914713374,-141.58834293678103
-52.41700941300764,-142.42010979551665
-53.44479391130191,-143.25187665425227
-54.472578409596174,-144.0836435129879
-55.50036290789044,-144.9154103717235
-56.52814740618471,-145.74717723045913
-57.555931904478975,-146.57894408919475
-58.58371640277324,-147.41071094793037
-59.61150090106751,-148.242477806666
-60.639285399361775,-149.0742446654016
-61.66706989765604,-149.90601152413723
-62.69485439595031,-150.73777838287285
-63.722638894244575,-151.56954524160847
-64.75042339253885,-152.4013121003441
-65.77820789083312,-153.2330789590797
-66.80599238912738,-154.06484581781532
-67.83377688742165,-154.89661267655094
-68.86156138571592,-155.72837953528656
-69.88934588401018,-156.56014639402218
-70.91713038230445,-157.3919132527578
-71.94491488059872,-158.22368011149342
-72.97269937889298,-159.05544697022904
-74.00048387718725,-159.88721382896466
-75.02826837548152,-160.71898068770028
-76.05605287377578,-161.5507475464359
-77.08383737207005,-162.38251440517152
-78.11162187036432,-163.21428126390714
-79.13940636865858,-164.04604812264276
-80.16719086695285,-164.87781498137838
-81.19497536524712,-165.709581840114
-82.22275986354138,-166.54134869884962
-83.25054436183565,-167.37311555758524
-84.27832886012992,-168.20488241632086
-85.30611335842418,-169.03664927505648
-86.33389785671845,-169.8684161337921
-87.36168235501272,-170.70018299252771
-88.38946685330698,-171.53194985126333
-89.41725135160125,-172.36371670999895
-90.44503584989552,-173.19548356873457
-91.47282034818979,-174.0272504274702
-92.50060484648405,-174.8590172862058
-93.52838934477832,-175.69078414494143
-94.55617384307259,-176.52255100367705
-95.58395834136685,-177.35431786241267
-96.61174283966112,-178.1860847211483
-97.63952733795539,-179.0178515798839
-98.66731183624965,-179.84961843861953
-99.69509633454392,-180.68138529735515
-100.72288083283819,-181.51315215609077
-101.75066533113245,-182.3449190148264
-102.77844982942672,-183.176685873562
-103.80623432772099,-184.00845273229763
-104.83401882601525,-184.84021959103325
-105.86180332430952,-185.67198644976887
-106.88958782260379,-186.50375330850449
-107.91737232089805,-187.3355201672401
-108.94515681919232,-188.16728702597572
-109.97294131748659,-188.99905388471134
-111.00072581578085,-189.83082074344696
-112.02851031407512,-190.66258760218258
-113.05629481236939,-191.4943544609182
-114.08407931066365,-192.32612131965382
-115.11186380895792,-193.15788817838944
-116.13964830725219,-193.98965503712506
-117.16743280554645,-194.82142189586068
-118.19521730384072,-195.6531887545963
-119.22300180213499,-196.48495561333192
-120.25078630042925,-197.31672247206754
-121.27857079872352,-198.14848933080316
-122.30635529701779,-198.98025618953878
-123.33413979531205,-199.8120230482744
-124.36192429360632,-200.64378990701002
-125.38970879190059,-201.47555676574564
-126.41749329019486,-202.30732362448126
-127.44527778848912,-203.13909048321688
-128.4730622867834,-203.9708573419525
-129.50084678507767,-204.80262420068811
-130.52863128337194,-205.63439105942373
-131.5564157816662,-206.46615791815935
-132.58420027996047,-207.29792477689497
-133.61198477825474,-208.1296916356306
-134.639769276549,-208.9614584943662
-135.66755377484327,-209.79322535310183
-136.69533827313754,-210.62499221183745
-137.7231227714318,-211.45675907057307
-138.75090726972607,-212.2885259293087
-139.77869176802034,-213.1202927880443
-140.8064762663146,-213.95205964677993
-141.83426076460887,-214.78382650551555
-142.86204526290314,-215.61559336425117
-143.8898297611974,-216.4473602229868
-144.91761425949167,-217.2791270817224
-145.94539875778594,-218.11089394045803
-146.9731832560802,-218.94266079919365
-148.00096775437447,-219.77442765792927
-149.02875225266874,-220.60619451666489
-150.056536750963,-221.4379613754005
-151.08432124925727,-222.26972823413612
-152.11210574755154,-223.10149509287174
-153.1398902458458,-223.93326195160736
-154.16767474414007,-224.76502881034298
-155.16678056006262,-225.5589799920164
-156.13720769361348,-226.31511549662758
-157.0789561447926,-227.03343532417657
-157.99202591360006,-227.71393947466333
-158.8764170000358,-228.3566279480879
-159.7321294040998,-228.96150074445023
-160.5591631257921,-229.52855786375036
-161.3575181651127,-230.05779930598828
-162.12719452206161,-230.549225071164
-162.8681921966388,-231.0028351592775
-163.58051118884427,-231.41862957032882
-164.26415149867805,-231.7966083043179
-164.9191131261401,-232.1367713612448
-165.54539607123047,-232.43911874110947
-166.14300033394912,-232.70365044391193
