Elapsed_Time,Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W
2557.887,-33.67018487462928,16.601348451817138,-0.07300981643626633,-0.056453479791141084,-0.0509035388443567,0.9472518131737726,-0.31134520518484404
2557.887,-33.670159760807074,16.600934056603432,-0.07319266657659747,-0.055397563570370595,-0.05048960764293816,0.9472618752395822,-0.3115715795577627
2557.887,-33.67010132453995,16.600563890292293,-0.07338789053490834,-0.05431323178115332,-0.05014564388552004,0.947446763344791,-0.31125571140185154
2557.907,-33.670046469937866,16.60021162440636,-0.07352989099591084,-0.05325112300539618,-0.04972151296592798,0.94750873020882,-0.3113186393795156
2557.907,-33.669990765191905,16.599855919613272,-0.0745996814302328,-0.05217341608080488,-0.04930887965572334,0.9477454140166333,-0.3108459413471518
2557.927,-33.66995707373113,16.59944685545794,-0.0746132603452442,-0.05113429958757419,-0.048827204571080994,0.9477953541688325,-0.3109423646199398
2557.957,-33.66989097810077,16.59899666432463,-0.0747156064798523,-0.050082294163585776,-0.0483699233212901,0.9480285571695194,-0.31047378169546613
2557.957,-33.66979661386919,16.59851953658355,-0.07467010102215832,-0.0490564022484691,-0.04788703693988471,0.9481352343264149,-0.31038665970100765
2557.967,-33.669654746394436,16.598034535778222,-0.07455796146154924,-0.0479974164535908,-0.047430190594792414,0.9483087192360352,-0.3100922412038593
2557.967,-33.66952080532659,16.59756123850633,-0.07539523490492146,-0.046922713909948136,-0.047014615401633784,0.9483520863517022,-0.31018737106841565
2557.977,-33.6693653252984,16.59708957026932,-0.07543481913001818,-0.04582872819425441,-0.04656891453281432,0.9485798958189611,-0.3097212377597339
2557.987,-33.66924778789219,16.59664387847548,-0.07550996885454202,-0.04474236831306581,-0.04613519561209119,0.9486184094439185,-0.30982701216592173
2557.987,-33.66915415119666,16.596222775279927,-0.075361578220988,-0.04363214150041377,-0.04567002445307493,0.9488178507337569,-0.3094433247357549
2557.987,-33.66910727805505,16.595848734049383,-0.07509005337639837,-0.04251285435132334,-0.04522077067727242,0.9489147977109246,-0.30936781636022126
2557.997,-33.66909239640564,16.59551056727158,-0.07480473830821484,-0.04139837139004264,-0.044723939267782814,0.9490378691490404,-0.30921362684020337
2557.997,-33.669116153350416,16.59522014549906,-0.07457013414353972,-0.040277291356264296,-0.044243017131116315,0.9491140485200937,-0.3091970538959507
2558.037,-33.66913398806747,16.59492336348445,-0.07527688817420451,-0.03917959982429841,-0.043718738069392395,0.9492229675328698,-0.309078289123193
2558.037,-33.66914759934933,16.59462934784694,-0.07531815824529009,-0.038104797567537645,-0.04313998037655105,0.9493482352139545,-0.30890920153274476
2558.067,-33.669148791376124,16.594313600649805,-0.075447368814576,-0.037056576719630294,-0.0425075867093152,0.9494423175778762,-0.3088352324238986
2558.097,-33.66910849934947,16.593944096256326,-0.07541356199810877,-0.03603904593137095,-0.04181608278562402,0.9495635814565245,-0.30867718924514126
2558.097,-33.669056126991975,16.593538291976703,-0.07527573326420636,-0.035031604718360816,-0.04112239498914945,0.949651958093744,-0.3086144743687999
2558.097,-33.668991925408996,16.593091742160787,-0.07511311292805273,-0.03402993741555683,-0.040373882606724955,0.9497957208184603,-0.3083828816223319
2558.097,-33.668929339292845,16.592640865615763,-0.07589976603259897,-0.03303570562657246,-0.039617881867535974,0.9498955136263666,-0.3082816549562842
2558.107,-33.66885498774189,16.59216414596317,-0.07596646816301973,-0.03204597606199834,-0.03887062752646139,0.950083508524996,-0.30790169951263147
